Elements;rapide;tas;fusion;bulles;selection;insertion;shell
1000;0.000237;0.000293;0.000560;0.005807;0.005049;0.000438;0.000305
2000;0.000557;0.000730;0.000981;0.017482;0.020429;0.001890;0.000837
3000;0.000828;0.001099;0.001368;0.048856;0.046501;0.004537;0.001241
4000;0.001152;0.001467;0.001864;0.090308;0.082491;0.007863;0.001656
5000;0.001530;0.001880;0.002642;0.111561;0.130028;0.011584;0.002213
6000;0.001935;0.002390;0.002781;0.113702;0.084187;0.023277;0.002741
7000;0.002260;0.002628;0.003621;0.116978;0.087127;0.031293;0.002972
8000;0.002316;0.003214;0.004013;0.137660;0.111279;0.043230;0.003680
9000;0.002746;0.003679;0.004132;0.176542;0.141419;0.051890;0.004239
10000;0.002778;0.004110;0.006669;0.227233;0.171967;0.052811;0.004819
11000;0.003110;0.004673;0.006899;0.275882;0.210925;0.032287;0.005331
12000;0.003376;0.005130;0.007903;0.329253;0.246886;0.042898;0.006153
13000;0.003677;0.005322;0.008531;0.391370;0.295147;0.056789;0.006774
14000;0.004840;0.005362;0.008685;0.450051;0.337856;0.058631;0.006728
15000;0.005459;0.005192;0.008105;0.518797;0.384558;0.060343;0.007448
16000;0.005769;0.007006;0.007763;0.597161;0.438844;0.045063;0.008229
17000;0.005849;0.006652;0.011791;0.676972;0.492946;0.058439;0.008719
18000;0.006527;0.006861;0.012912;0.759690;0.552241;0.062030;0.008821
19000;0.007020;0.007919;0.013021;0.855212;0.613273;0.060195;0.009612
20000;0.007076;0.009137;0.013470;0.971389;0.726367;0.106359;0.010657
21000;0.007415;0.009601;0.012663;1.055584;0.930883;0.081080;0.012220
22000;0.006680;0.009671;0.012538;1.156189;0.890049;0.080457;0.011778
23000;0.008119;0.010063;0.012668;1.283475;0.973952;0.084516;0.012566
24000;0.008941;0.008386;0.013221;1.529096;1.011222;0.092033;0.012456
25000;0.009603;0.008704;0.011958;1.622734;1.093149;0.100743;0.011398
26000;0.009491;0.008527;0.017002;1.719329;1.184731;0.107540;0.011756
27000;0.010006;0.009618;0.016282;1.814885;1.280540;0.115086;0.012225
28000;0.009914;0.010561;0.020393;1.936248;1.371952;0.119968;0.013019
29000;0.009149;0.009556;0.020337;2.075908;1.461153;0.127316;0.016139
30000;0.010365;0.010572;0.016693;2.231259;1.590503;0.154802;0.014618
31000;0.010220;0.010550;0.022452;2.393736;1.699335;0.147131;0.014532
32000;0.010970;0.015543;0.018556;2.550531;1.801299;0.159937;0.019100
33000;0.011200;0.015627;0.014465;2.711920;1.881326;0.168056;0.016760
34000;0.012977;0.014941;0.009096;2.908489;2.035824;0.177851;0.017241
35000;0.013383;0.015811;0.008686;3.104577;2.141799;0.181713;0.018377
36000;0.012290;0.017894;0.009285;3.272323;2.235221;0.197171;0.020074
37000;0.013580;0.014516;0.009006;3.463823;2.373287;0.204794;0.019588
38000;0.014765;0.017943;0.010404;3.712871;2.506240;0.215902;0.021100
39000;0.012455;0.011285;0.009181;3.872693;2.631109;0.223834;0.012778
40000;0.008027;0.008491;0.009438;4.104385;2.781612;0.235019;0.009183
41000;0.006353;0.007541;0.010005;4.280947;2.917952;0.248169;0.009984
42000;0.006065;0.006820;0.008772;4.526494;3.087366;0.265400;0.008237
43000;0.006168;0.008297;0.011096;4.723628;3.240747;0.276197;0.008510
44000;0.005796;0.006582;0.009123;4.961719;3.420150;0.293681;0.008247
45000;0.006664;0.008284;0.010091;5.247912;3.649588;0.305523;0.009100
46000;0.005465;0.008049;0.011222;5.595616;3.780573;0.315497;0.008764
47000;0.007290;0.007451;0.010274;5.969698;4.141563;0.327736;0.009101
48000;0.006113;0.009121;0.012073;6.306246;4.357119;0.339132;0.010204
49000;0.007320;0.006885;0.012526;6.418755;4.163003;0.355208;0.008894
50000;0.007373;0.009598;0.011162;6.513991;4.333419;0.364989;0.011214
51000;0.007346;0.006627;0.012589;6.836836;4.603176;0.378434;0.010640
52000;0.007821;0.010294;0.012494;7.084076;4.782847;0.385117;0.009773
53000;0.007949;0.009005;0.012743;7.491706;5.065586;0.404465;0.010859
54000;0.008094;0.009649;0.011325;7.665032;5.336550;0.423857;0.009771
55000;0.006861;0.009227;0.012340;7.940298;5.326191;0.484513;0.010625
56000;0.008291;0.009107;0.013044;8.239166;5.530458;0.497229;0.013629
57000;0.007787;0.009899;0.014534;8.563205;5.701886;0.478196;0.016629
58000;0.007758;0.008270;0.014120;8.955978;6.110330;0.501533;0.013732
59000;0.008312;0.011008;0.013397;9.175051;6.138614;0.511776;0.011149
60000;0.008909;0.009252;0.014502;9.479422;6.359004;0.526114;0.011198
61000;0.008030;0.010513;0.012761;9.835369;6.563915;0.548272;0.012837
62000;0.009330;0.011731;0.013736;10.194146;6.761934;0.562636;0.012097
63000;0.008421;0.009609;0.016212;10.535863;6.952598;0.591536;0.012234
64000;0.009143;0.010986;0.015539;10.929954;7.211591;0.596572;0.014013
65000;0.009635;0.012229;0.015688;11.142229;7.440497;0.625580;0.013895
66000;0.008631;0.010475;0.015875;11.642743;7.627299;0.640232;0.015461
67000;0.010628;0.009918;0.016167;11.840913;7.894831;0.666717;0.014399
68000;0.008859;0.012216;0.016666;12.338350;8.410468;0.696691;0.014028
69000;0.009428;0.011266;0.016079;12.665143;8.411235;0.702668;0.013270
70000;0.009747;0.012423;0.016885;12.978677;8.830552;0.728951;0.014001
71000;0.009353;0.012770;0.016696;13.668865;9.217882;0.769701;0.014024
72000;0.010949;0.013012;0.017765;13.765350;9.728932;0.817135;0.014206
73000;0.009142;0.013403;0.017806;14.801629;9.824457;0.816325;0.014541
74000;0.010598;0.012789;0.018174;13.671258;10.232571;0.790878;0.015197
75000;0.011440;0.012073;0.018387;14.304668;9.686859;0.815239;0.015380
76000;0.010322;0.012602;0.019519;15.493630;9.461523;0.831237;0.015375
77000;0.010330;0.014444;0.028835;14.138756;9.521320;0.876529;0.015961
78000;0.012146;0.015321;0.021214;14.135919;9.661128;0.880599;0.016286
79000;0.011688;0.015096;0.021685;14.537469;9.733984;0.902566;0.016378
